Periodo, Nacional , GBA , Pampeana , Noroeste , Noreste , Cuyo , Patagonia , REM Nacional 
nov-09, 0.008 ,,,,,,,
oct-09, 0.008 ,,,,,,,
sep-09, 0.007 ,,,,,,,
ago-09, 0.008 ,,,,,,,
jul-09, 0.006 ,,,,,,,
jun-09, 0.004 ,,,,,,,
may-09, 0.003 ,,,,,,,
abr-09, 0.003 ,,,,,,,
mar-09, 0.006 ,,,,,,,
feb-09, 0.004 ,,,,,,,
ene-09, 0.005 ,,,,,,,
dic-08, 0.003 ,,,,,,,
nov-08, 0.003 ,,,,,,,
oct-08, 0.004 ,,,,,,,
sep-08, 0.005 ,,,,,,,
ago-08, 0.005 ,,,,,,,
jul-08, 0.004 ,,,,,,,
jun-08, 0.006 ,,,,,,,
may-08, 0.006 ,,,,,,,
abr-08, 0.008 ,,,,,,,
mar-08, 0.011 ,,,,,,,
feb-08, 0.005 ,,,,,,,
ene-08, 0.009 ,,,,,,,
dic-07, 0.009 ,,,,,,,
nov-07, 0.009 ,,,,,,,
oct-07, 0.007 ,,,,,,,
sep-07, 0.008 ,,,,,,,
ago-07, 0.006 ,,,,,,,
jul-07, 0.005 ,,,,,,,
jun-07, 0.004 ,,,,,,,
may-07, 0.004 ,,,,,,,
abr-07, 0.007 ,,,,,,,
mar-07, 0.008 ,,,,,,,
feb-07, 0.003 ,,,,,,,
ene-07, 0.011 ,,,,,,,
dic-06, 0.010 ,,,,,,,
nov-06, 0.007 ,,,,,,,
oct-06, 0.009 ,,,,,,,
sep-06, 0.009 ,,,,,,,
ago-06, 0.006 ,,,,,,,
jul-06, 0.006 ,,,,,,,
jun-06, 0.005 ,,,,,,,
may-06, 0.005 ,,,,,,,
abr-06, 0.010 ,,,,,,,
mar-06, 0.012 ,,,,,,,
feb-06, 0.004 ,,,,,,,
ene-06, 0.013 ,,,,,,,
dic-05, 0.011 ,,,,,,,
nov-05, 0.012 ,,,,,,,
oct-05, 0.008 ,,,,,,,
sep-05, 0.012 ,,,,,,,
ago-05, 0.004 ,,,,,,,
jul-05, 0.010 ,,,,,,,
jun-05, 0.009 ,,,,,,,
may-05, 0.006 ,,,,,,,
abr-05, 0.005 ,,,,,,,
mar-05, 0.015 ,,,,,,,
feb-05, 0.009 ,,,,,,,
ene-05, 0.015 ,,,,,,,
dic-04, 0.008 ,,,,,,,
nov-04, -   ,,,,,,,
oct-04, 0.004 ,,,,,,,
sep-04, 0.006 ,,,,,,,
ago-04, 0.003 ,,,,,,,
jul-04, 0.005 ,,,,,,,
jun-04, 0.006 ,,,,,,,
may-04, 0.007 ,,,,,,,
abr-04, 0.009 ,,,,,,,
mar-04, 0.006 ,,,,,,,
feb-04, 0.001 ,,,,,,,
ene-04, 0.004 ,,,,,,,
dic-03, 0.002 ,,,,,,,
nov-03, 0.002 ,,,,,,,
oct-03, 0.006 ,,,,,,,
sep-03, -   ,,,,,,,
ago-03, -   ,,,,,,,
jul-03, 0.004 ,,,,,,,
jun-03,-0.001 ,,,,,,,
may-03,-0.004 ,,,,,,,
abr-03, 0.001 ,,,,,,,
mar-03, 0.006 ,,,,,,,
feb-03, 0.006 ,,,,,,,
ene-03, 0.013 ,,,,,,,
dic-02, 0.002 ,,,,,,,
nov-02, 0.005 ,,,,,,,
oct-02, 0.002 ,,,,,,,
sep-02, 0.014 ,,,,,,,
ago-02, 0.023 ,,,,,,,
jul-02, 0.032 ,,,,,,,
jun-02, 0.036 ,,,,,,,
may-02, 0.040 ,,,,,,,
abr-02, 0.104 ,,,,,,,
mar-02, 0.040 ,,,,,,,
feb-02, 0.031 ,,,,,,,
ene-02, 0.023 ,,,,,,,
dic-01,-0.001 ,,,,,,,
nov-01,-0.003 ,,,,,,,
oct-01,-0.004 ,,,,,,,
sep-01,-0.001 ,,,,,,,
ago-01,-0.004 ,,,,,,,
jul-01,-0.003 ,,,,,,,
jun-01,-0.007 ,,,,,,,
may-01, 0.001 ,,,,,,,
abr-01, 0.007 ,,,,,,,
mar-01, 0.002 ,,,,,,,
feb-01,-0.002 ,,,,,,,
ene-01, 0.001 ,,,,,,,
dic-00,-0.001 ,,,,,,,
nov-00,-0.005 ,,,,,,,
oct-00, 0.002 ,,,,,,,
sep-00,-0.002 ,,,,,,,
ago-00,-0.002 ,,,,,,,
jul-00, 0.004 ,,,,,,,
jun-00,-0.002 ,,,,,,,
may-00,-0.004 ,,,,,,,
abr-00,-0.001 ,,,,,,,
